id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
170,Polyscias fruticosa Elegans,Araliaceae,Ming Aralia; Parsley panax,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Polyscias fruticosa Elegans,toksyczna,toksyczna
171,Philodendron selloum,Araceae,Lacy tree philodendron,Philodendron,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary,28,82.4,18,64.4,Philodendron selloum,toksyczna,toksyczna
172,Pteris ensiformis Evergemiensis,Pteridaceae,Silver Lace Fern,Fern,Asia,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,,,Table top; Tertiary,28,82.4,12,53.6,Pteris ensiformis Evergemiensis,nietoksyczna,nietoksyczna
173,Rhapis excelsa,Arecaceae,Lady palm,Palm,China,Subtropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,,,Potted plant; Secondary,30,20.0,8,46.4,Rhapis excelsa,nietoksyczna,nietoksyczna
174,Polyscias fruticosa,Araliaceae,Ming Aralia; Parsley panax,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Polyscias fruticosa,toksyczna,toksyczna
175,Philodendron scandens oxycardium,Araceae,Parlor ivy; Sweetheart plant; Heartleaf philodendron; Cordatum vine,Philodendron,Central America,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary,28,82.4,18,64.4,Philodendron scandens oxycardium,toksyczna,toksyczna
176,Veitchia merrillii,Arecaceae,Adonidia; Christmas palm; Manila palm,Palm,Philippines,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,,Potted plant; Secondary,30,20.0,15,59.0,Veitchia merrillii,nietoksyczna,nietoksyczna
177,Spathiphyllum Lynise,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Secondary,28,82.4,15,59.0,Spathiphyllum Lynise,toksyczna (szczawiany wapnia),toksyczna
178,Spathiphyllum Ceres,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Ceres,toksyczna,toksyczna
179,Vriesea splendens,Bromeliaceae,,Bromeliad,Venezuela,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Tertiary,28,82.4,15,59.0,Vriesea splendens,nietoksyczna,nietoksyczna
180,Trichilia dregei,Miliaceae,Cape mahogany; Christmas bells,Other,Zimbabwe,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,,Potted plant; Secondary,28,82.4,12,53.6,Trichilia dregei,toksyczna,toksyczna
181,Vriesea Ginger,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Tertiary,28,82.4,15,59.0,Vriesea Ginger,nietoksyczna,nietoksyczna
182,Vriesea Charlotte,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Tertiary,28,82.4,15,59.0,Vriesea Charlotte,nietoksyczna,nietoksyczna
183,Syngonium podophyllum,Araceae,African evergreen; Arrowhead vine; Goosefoot plant; White Lightning,Hanging,Cultivar,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Crown rot; Erwinia,Hanging; Tertiary,28,82.4,12,53.6,Syngonium podophyllum,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)"
184,Syagrus schizophylla,Arecaceae,Parrot palm,Palm,Brazil,Tropical humid,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,,,Potted plant; Primary,30,20.0,12,53.6,Syagrus schizophylla,nietoksyczna,nietoksyczna
185,Tillandsia cyanea,Bromeliaceae,Pink quill,Bromeliad,Ecuador,Tropical humid,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Tertiary,30,20.0,15,59.0,Tillandsia cyanea,nietoksyczna,nietoksyczna
186,Vriesea Christiane,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Tertiary,28,82.4,15,59.0,Vriesea Christiane,nietoksyczna,nietoksyczna
187,Tillandsia Creation,Bromeliaceae,,Bromeliad,Hybrid,Tropical humid,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Tertiary,30,20.0,15,59.0,Tillandsia Creation,nietoksyczna,nietoksyczna
188,Xanthosoma lindenii,Araceae, Indian kale,Foliage plant,Colombia,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Potted plant; Primary,28,82.4,12,53.6,Xanthosoma lindenii,toksyczna,toksyczna
189,Schefflera elegantissima,Araliaceae,False aralia,Aralia,New Calidonia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Secondary,28,82.4,12,53.6,Schefflera elegantissima,"toksyczna (szczawiany, gorzki sok)",toksyczna
190,Spathiphyllum Sensation,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Primary,28,82.4,15,59.0,Spathiphyllum Sensation,toksyczna,toksyczna
191,Spathiphyllum Starlight,Liliaceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Starlight,toksyczna,toksyczna
192,Sedum morganianum,Crasssulaceae,Burro tail,Hanging,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,,Hanging; Tertiary,35,95.0,8,46.4,Sedum morganianum,nietoksyczna,nietoksyczna
193,Spathiphyllum Domino,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Domino,toksyczna,toksyczna
194,Syngonium podophyllum,Araceae,African evergreen; Arrowhead vine; Goosefoot plant; Pink Allusion,Hanging,Cultivar,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Crown rot; Erwinia,Hanging; Tertiary,28,82.4,12,53.6,Syngonium podophyllum,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)"
195,Scindapsus pictus argyraeus,Araceae,Picta Philodendron; Satin pothos; Devils ivy,Hanging,Indonisia,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,,Hanging; Tertiary,30,20.0,12,53.6,Scindapsus pictus argyraeus,toksyczna,toksyczna
196,Xanthorrhoea arborea,Liliaceae,Grass tree,Other,Australia,Arid Tropical,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,,,Potted plant; Primary,35,95.0,12,53.6,Xanthorrhoea arborea,nietoksyczna (dane ograniczone),nietoksyczna
197,Schefflera arboricola Trinette,Araliaceae,Yellow Hawaiian elf; Yellow parasol plant,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Table top; Secondary,30,20.0,12,53.6,Schefflera arboricola Trinette,toksyczna,toksyczna
198,Schefflera actinophylla Amate,Araliaceae,Umbella plant,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Secondary,28,82.4,12,53.6,Schefflera actinophylla Amate,toksyczna,toksyczna
199,Schefflera actinophylla Renegade,Araliaceae,Umbella plant,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Secondary,28,82.4,12,53.6,Schefflera actinophylla Renegade,toksyczna,toksyczna
200,Sansevieria trifasciata var,Liliaceae,Snake plant,Sansevieria,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,,Potted plant; Secondary,35,95.0,10,50.0,Sansevieria trifasciata var,toksyczna,lekko toksyczna
201,Spathiphyllum Supreme,Liliaceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Secondary,28,82.4,15,59.0,Spathiphyllum Supreme,toksyczna,toksyczna
202,Schefflera arboricola,Araliaceae,Hawaiian elf; Parasol plant,Schefflera,Taiwan,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Secondary,30,20.0,12,53.6,Schefflera arboricola,toksyczna,toksyczna
203,Spathiphyllum,Araceae,Peace lily; Emerald Swirl,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum,toksyczna,toksyczna
204,Spathiphyllum Starlight,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Starlight,toksyczna,toksyczna
205,Schefflera arboricola,Araliaceae,Hawaiian elf; Parasol plant; Gold Cappela,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Secondary,30,20.0,12,53.6,Schefflera arboricola,toksyczna,toksyczna
206,Strelitzia nicolai,Strelitziaceae,White bird of paradise,Foliage plant,South Africa,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Table top; Tertiary,30,20.0,12,53.6,Strelitzia nicolai,toksyczna (łagodne zatrucia),lekko toksyczna (niestrawność)
207,Zamioculcas zamifolia,Araceae,Zz plant,Foliage plant,South Africa,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,,,Table top; Secondary,30,20.0,12,53.6,Zamioculcas zamifolia,"toksyczna (kontakt i spożycie – wymioty, biegunka)","toksyczna (szczawiany wapnia – podrażnienia skóry, jamy ustnej)"
208,Yucca elephantipes,Liliaceae,Spineless yucca; Palm lily,Dracaena,Mexico,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,,Downy mildiou,Potted plant; Secondary,30,20.0,12,53.6,Yucca elephantipes,"toksyczna (saponiny – wymioty, biegunka)","lekko toksyczna (bóle brzucha, nudności)"
